Default Dataset,
X,Y
0.3218904927461158,0.45129155335066706
0.32696107242594197,0.4760965502126856
0.3301023745720557,0.46788798900212214
0.33485417517574356,0.45969935148381713
0.33467486194541574,0.4411404321448852
0.3344955487150879,0.42258151280595335
0.33924734931877565,0.41439287528764857
0.34405892099923974,0.41239054421565424
0.34572919053358975,0.4185967743542236
0.35058060959857085,0.4207186475797696
0.3570823745056434,0.4269846487951149
0.3620134883396591,0.43735493061574193
0.38434130613085216,0.4149507386708907
0.365373951100618,0.45182949304165054
0.3699663621662366,0.42714403833318415
0.3747380864621832,0.42101750296364937
0.38611119412649564,0.431467479553311
0.387761539968587,0.43561160754311
0.3894318095029372,0.44181783768167926
0.3976636150211358,0.46047637548190445
0.40422515100498424,0.4729286831435603
0.4059352679238517,0.48325911757967
0.40772507961175364,0.5018379606108605
0.4078246980730469,0.5121484713547116
0.40895702791641353,0.4626779434764853
0.41525955590089947,0.44832292320412837
0.4182215448166855,0.42155544265463296
0.4229932691126319,0.4154289072850983
0.4261544949510043,0.40928244822330506
0.4292559497126007,0.3969496827152009
0.4308266007856577,0.39284540210991914
0.4374877552307993,0.4156082205154261
0.4392576432264428,0.4321249613978464
0.44723044074527896,0.42397617126405884
0.45041159027590993,0.41989181435103584
0.45524308564863236,0.41995158542781175
0.45856370102507404,0.4303019435561801
0.46031366532845863,0.44475658228983006
0.4604132837897519,0.4550670930336811
0.46206362963184344,0.45921122102348033
0.46534439762376767,0.46543737485430825
0.4718660862230989,0.47376547821842363
0.47351643206519034,0.47790960620822276
0.47524647267631637,0.49030214279310247
0.48528801357467566,0.5296016257732884
0.49019920371643266,0.5379098054451453
0.49654157908543617,0.5276789894703289
0.4819673981982341,0.5192512676449202
0.4818877034291995,0.5110028590498393
0.48659965664837,0.498690017233994
0.49789306954364787,0.5008915852285747
0.5152499261163079,0.4639929071655561
0.5215923014853113,0.4537620911907396
0.5231828762506268,0.45171991273422796
0.5025651753783011,0.484454539115189
0.5089274744395631,0.47628582528914276
0.5120687765856768,0.4680772640785793
0.5214129882549834,0.4352031718518078
0.5213930645627248,0.43314106970303756
0.5245941377856144,0.4311188149387847
0.5327462485347786,0.44152894414392885
0.5442588220449014,0.46641363577498207
0.5459091678869928,0.4705577637647812
0.5491700121866585,0.4747218154468388
0.5542405918664847,0.4995268123088573
0.557521359858409,0.5057529661396851
0.5608021278503332,0.5119791199705132
0.5641028195345161,0.5202673759501113
0.5689940859840145,0.5265134534731979
0.5722549302836802,0.5306775051552555
0.5753364613530181,0.5162826374983814
0.5784976871913904,0.5101361784365881
0.5846209019455485,0.47722223882529935
0.5861915530186055,0.47311795822001745
0.5893527788569778,0.4669714991582242
0.5814995234916934,0.48749290218463304
0.5815792182607281,0.49574131077971384
0.5879614410142487,0.48963469910243784
0.6006461917522555,0.46917306715280505
0.5992548539095265,0.49183626709701855
0.5992548539095265,0.49183626709701855
0.597783821297763,0.5062510584461514
0.5978435923745389,0.512437364892462
0.6011642077509805,0.5227877230208304
0.6027946299008132,0.5248697488618592
0.6060953215849961,0.5331580048414574
0.6127365523378794,0.5538587210981941
0.612816247106914,0.5621071296932749
0.614486516641264,0.5683133598318443
0.6161767098678728,0.5765816921191838
0.6162364809446487,0.5827679985654943
0.616276328329166,0.5868922028630348
0.626278021843008,0.6220674815456803
0.6180860637093267,0.6075331480429955
0.6164755652517525,0.6075132243507368
0.618066140017068,0.6054710458942253
0.6262381744584906,0.6179432772481398
0.6325606261352354,0.6056503591245531
0.6404338051927784,0.5871910582469145
0.6420243799580938,0.585148879790403
0.6419446851890592,0.5769004711953222
0.6434356414930815,0.5645477819949595
0.6450062925661383,0.5604435013896777
0.6466167910237125,0.5604634250819364
0.6498377879388608,0.5605032724664537
0.6547091306961007,0.5646872478407701
0.6547290543883594,0.5667493499895402
0.6591222285313915,0.5214428737933716
0.6606331085276723,0.5111522867417793
0.657651195919628,0.5358576651425044
0.6576910433041452,0.5399818694400449
0.6577508143809212,0.5461681758863556
0.6559211553085018,0.5234651285576245
0.6605334900663791,0.5008417759979281
0.6605334900663791,0.5008417759979281
0.6652055959010325,0.4844047298845424
0.6699573965047203,0.4762160923662375
0.681191038323222,0.47223135391450766
0.681191038323222,0.47223135391450766
0.6812109620154807,0.4742934560632778
0.6844518826228877,0.47639540559656535
0.6877127269225534,0.48055945727862315
0.6909536475299602,0.4826614068119106
0.6942543392141431,0.49094966279150876
0.6943340339831777,0.49919807138658956
0.6959843798252693,0.5033421993763886
0.6976944967441366,0.5136726338124983
0.6993249188939695,0.5157546596535272
0.7041763379589506,0.5178765328790734
0.7091074517929662,0.5282468146997004
0.7142975736263445,0.56542442445434
0.7109769582499029,0.5550740663259718
0.7092668413310355,0.5447436318898621
0.7143772683953791,0.5736728330494208
0.7143772683953791,0.5736728330494208
0.7176580363873032,0.5798989868802489
0.725491368060329,0.5573154817050697
0.7286725175909599,0.5532311247920467
0.7318735908138495,0.5512088700277937
0.7479785753895912,0.5514081069503802
0.752909689223607,0.5617783887710073
0.7529495366081244,0.5659025930685477
0.7562103809077899,0.5700666447506054
0.7613208079721335,0.5989958459101643
0.7628715353529316,0.5928294631561122
0.7532683156842628,0.598896227448871
0.7549385852186128,0.6051024575874403
0.7582392769027957,0.6133907135670384
0.7615001212024614,0.617554765249096
0.7680018861095339,0.6238207664644414
0.7761938442432152,0.6383550999671261
0.7811448817694895,0.6507874839365233
